SR_ID_Pub3,Total_Trials_Pub3,Total_Participants_Pub3,PublicationDate_Pub3,SearchDate_Pub3,SearchDate_Pub2,Total_Trials_Pub2,Total_Participants_Pub2,conclusion
27003123,5,1854,22-Mar-16,30-Sep-15,27-Jun-12,2,2,1
26649916,4,430,9-Dec-15,31-Oct-15,31-Aug-09,2,3,0
22786500,6,454,11-Jul-12,20-Feb-12,16-Feb-10,6,3,0
27911487,2,5,2-Dec-16,1-Jun-15,31-May-11,2,5,0
25233847,1,7,19-Sep-14,31-Mar-14,31-Oct-10,1,7,0
27223580,10,50,25-May-16,30-Jun-15,15-Aug-12,9,8,1
26545165,1,9,4-Nov-15,27-Jul-15,21-Jan-13,1,9,0
25310725,1,10,13-Oct-14,8-Jul-14,10-May-11,1,10,0
23450573,2,10,28-Feb-13,31-Oct-12,31-Jan-10,2,10,0
22161399,1,10,7-Dec-11,8-Mar-11,30-Sep-30,1,10,0
23450579,1,12,28-Feb-13,31-Jul-12,30-Apr-10,1,12,0
30259968,2,14,27-Sep-18,26-Feb-18,1-Oct-13,2,14,0
29112241,1,14,7-Nov-17,31-Aug-17,7-Apr-14,1,14,0
26284429,5,15,18-Aug-15,30-Mar-15,30-Sep-10,4,15,0
26690687,2,16,21-Dec-15,23-Mar-15,31-Aug-12,2,16,0
22419283,1,17,14-Mar-12,1-Sep-11,2-Dec-09,1,17,0
25565627,3,180,7-Jan-15,31-Jul-15,31-Mar-11,2,19,0
30113083,1,20,16-Aug-18,23-May-18,3-Jul-15,1,20,0
23999944,1,20,2-Sep-13,2-Jul-13,31-May-10,1,20,0
23543560,1,21,28-Mar-13,31-Aug-09,31-Aug-09,1,21,0
26041152,1,22,4-Jun-15,3-Jun-15,5-Jul-12,1,22,0
26558329,3,175,12-Nov-15,14-Jan-15,31-Oct-10,1,24,1
26111021,1,24,25-Jun-15,26-Mar-15,10-May-12,1,24,0
26816298,1,12,27-Jan-16,22-Sep-15,31-Oct-09,1,25,0
24526345,3,48,14-Feb-14,31-Jan-14,28-Feb-11,1,25,0
28245347,5,44,28-Feb-17,31-Jul-16,30-Apr-13,4,26,0
22513953,1,29,18-Apr-12,11-Jul-11,17-Dec-08,1,29,0
28406263,3,88,13-Apr-17,28-Feb-16,31-May-12,1,30,1
22419318,1,30,14-Mar-12,30-Sep-11,11-May-09,1,30,0
21563152,1,30,11-May-11,31-Jan-11,31-Jul-08,1,30,0
26488459,1,32,21-Oct-15,10-Aug-15,19-Aug-13,1,32,0
23633357,2,32,30-Apr-13,11-Oct-12,15-Apr-10,2,32,0
23440820,1,33,31-Jan-13,13-Feb-12,31-May-09,1,33,0
26978005,4,35,15-Mar-16,7-Mar-16,10-Jan-13,4,35,0
26510094,1,37,28-Oct-15,11-Aug-15,31-Aug-12,1,37,0
23543554,4,37,28-Mar-13,31-Dec-09,31-Dec-09,4,37,0
22258941,7,323,18-Jan-12,30-Jun-10,31-May-07,4,38,0
25741986,2,78,5-Mar-15,19-Nov-14,2-Aug-12,1,39,0
25561247,2,52,5-Jan-15,27-Oct-14,20-Feb-12,2,40,0
21563150,5,40,11-May-11,13-Apr-11,9-Sep-10,5,40,0
22972102,2,44,12-Sep-12,13-Jun-12,31-Mar-10,2,44,0
25261861,1,45,27-Sep-14,31-Mar-14,28-Jun-10,1,45,0
23633352,1,46,30-Apr-13,25-Jan-13,2-Feb-11,1,46,0
25314586,8,437,14-Oct-14,12-Aug-13,30-Apr-07,1,47,0
21975769,2,47,5-Oct-11,30-Apr-11,31-Jul-08,2,47,0
25929694,12,141,1-May-15,30-Nov-14,30-Apr-13,5,48,0
23543531,2,48,28-Mar-13,1-May-12,31-Dec-08,2,48,0
26590358,2,100,21-Nov-15,30-Sep-15,31-Jan-13,2,50,0
26241793,4,50,4-Aug-15,12-May-15,31-Mar-10,4,50,0
23728676,3,40,31-May-13,30-Jul-12,31-Jul-10,3,50,0
23728653,2,52,31-May-13,2-Jul-12,31-Aug-07,2,52,0
28799164,3,254,11-Aug-17,31-Jan-17,30-Apr-10,1,53,1
28141912,4,204,31-Jan-17,31-Dec-15,31-Aug-11,3,53,0
23450584,4,53,28-Feb-13,28-Aug-12,5-Jul-10,4,53,0
22513949,3,53,18-Apr-12,15-Feb-12,14-Mar-11,3,53,0
29676439,10,357,20-Apr-18,31-Mar-17,5-Dec-13,4,55,0
26591003,7,106,23-Nov-15,31-Mar-15,31-Oct-12,5,55,0
25427003,2,93,26-Nov-14,23-Jun-14,31-Jul-09,1,55,1
23737086,3,56,5-Jun-13,28-Jun-12,9-Jun-10,3,56,0
28675262,1,58,4-Jul-17,2-Feb-17,14-Jun-10,1,58,0
24954057,3,59,23-Jun-14,31-Mar-14,28-Feb-08,3,59,0
23904069,6,541,31-Jul-13,31-Jan-13,31-Aug-07,1,61,0
23633373,1,61,30-Apr-13,31-Dec-12,30-Nov-11,1,61,0
23543561,1,61,28-Mar-13,30-Nov-12,31-Jan-11,1,61,0
26482210,2,64,19-Oct-15,27-Apr-15,15-May-13,2,64,0
26263042,16,837,17-Sep-15,31-Aug-15,30-Nov-08,1,67,1
24729384,2,67,14-Apr-14,31-Jul-13,31-Jan-10,2,67,0
25501301,3,68,15-Dec-14,29-May-14,10-Jul-12,3,68,0
27388039,3,108,8-Jul-16,15-Feb-16,30-Apr-11,2,69,0
22258994,2,70,18-Jan-12,31-Dec-10,31-Dec-10,2,70,0
22161428,4,463,7-Dec-11,1-Aug-11,30-Apr-10,2,71,0
24497383,2,1305,5-Feb-14,31-Dec-13,21-Sep-10,1,74,1
24258092,8,180,21-Nov-13,8-Jul-13,28-Jun-11,8,75,0
23813478,2,75,30-Jun-13,31-Mar-13,31-Mar-08,1,75,1
27230550,1,77,27-May-16,28-Feb-16,28-Feb-07,1,77,0
26299681,3,79,24-Aug-15,30-Jun-15,31-May-12,3,79,0
24482008,3,229,30-Jan-14,31-May-13,31-Jan-08,2,79,1
28434203,3,83,23-Apr-17,21-Feb-17,2-Nov-15,3,83,0
23737089,4,111,5-Jun-13,26-Jul-12,26-Aug-10,3,84,0
24896368,2,88,4-Jun-14,31-Oct-13,30-Sep-11,2,88,0
28158933,1,90,4-Feb-17,30-Apr-16,31-Dec-13,1,90,0
27498707,1,91,8-Aug-16,18-May-16,4-Dec-13,2,91,0
22895953,2,756,15-Aug-12,4-Apr-12,31-Mar-08,1,94,1
26688006,8,97,21-Dec-15,2-Jun-15,4-Feb-13,8,97,0
26384333,7,447,18-Sep-15,31-Mar-15,30-Jun-09,5,97,0
28005272,1,72,22-Dec-16,30-May-16,31-Oct-13,2,98,0
26986179,6,125,17-Mar-16,12-Jan-16,31-May-12,4,102,0
25089848,1,102,4-Aug-14,23-Jul-14,27-Jan-12,1,102,0
24310855,1,35,6-Dec-13,9-Aug-13,3-Mar-11,1,104,0
24683009,5,105,30-Mar-14,2-Dec-13,30-Sep-11,5,105,0
19821364,1,106,7-Oct-09,26-Feb-08,26-Feb-08,1,106,0
25812932,16,837,17-Sep-15,31-Aug-15,31-Jan-10,6,108,1
22419319,2,268,14-Mar-12,31-Jan-12,30-Apr-09,1,108,0
20927748,3,289,6-Oct-10,30-Nov-09,30-Apr-07,2,109,1
25968066,2,110,13-May-15,28-Feb-15,31-May-09,2,110,0
29742275,5,219,9-May-18,31-Aug-17,22-Nov-11,5,116,0
29546732,1,117,16-Mar-18,17-Nov-17,7-Dec-15,1,117,0
26403154,1,117,25-Sep-15,26-Mar-15,13-Feb-12,1,117,0
24226506,1,117,13-Nov-13,31-May-13,4-Aug-11,1,117,0
25069726,4,121,29-Jul-14,31-Jan-14,27-Jan-12,4,121,0
20238344,6,121,17-Mar-10,31-Jan-09,31-Jan-09,6,121,0
24027118,6,122,11-Sep-13,31-Mar-13,6-May-08,6,122,0
20091602,2,123,20-Jan-10,31-May-09,30-Apr-08,2,123,0
20824851,3,126,8-Sep-10,31-Mar-10,28-Feb-08,3,126,0
23737088,5,127,5-Jun-13,22-Feb-13,6-Oct-10,5,127,0
26935713,3,100,3-Mar-16,30-Nov-15,31-May-08,3,129,1
24558013,1,129,20-Feb-14,30-Mar-13,10-Jan-11,1,129,0
26820557,7,359,28-Jan-16,30-Nov-15,31-Jan-08,3,130,0
23450582,2,130,28-Feb-13,31-Oct-12,30-Sep-10,1,130,0
27562563,1,132,26-Aug-16,30-May-16,30-Jun-12,1,132,0
26522473,1,132,2-Nov-15,27-Jul-15,8-Jul-13,1,132,0
25102015,10,475,7-Aug-14,29-Aug-13,9-Sep-10,5,132,1
28476075,5,213,5-May-17,22-Sep-16,30-Jun-09,2,136,0
28755534,7,190,29-Jul-17,31-May-17,31-Mar-11,5,139,0
28262916,4,141,6-Mar-17,10-Oct-16,10-Feb-14,4,141,0
24519736,1,141,12-Feb-14,31-May-13,25-Mar-11,1,141,0
28333365,5,309,23-Mar-17,28-Aug-15,31-Mar-08,3,144,0
23235638,3,145,12-Dec-12,15-Oct-12,4-Aug-10,3,145,0
26083192,1,146,17-Jun-15,31-Oct-14,28-Feb-09,1,146,0
22419312,1,146,14-Mar-12,31-Dec-11,31-Mar-09,1,146,0
24984156,3,149,1-Jul-14,17-Mar-14,22-Dec-11,3,149,0
23633329,21,2222,30-Apr-13,11-Sep-12,31-Dec-08,2,150,0
25036694,3,153,18-Jul-14,24-Jul-13,6-Dec-10,3,153,0
23543527,1,154,28-Mar-13,8-Feb-12,31-Jul-07,1,154,0
23740766,6,157,6-Jun-13,30-Apr-13,10-Jun-11,6,157,0
23450583,2,157,28-Feb-13,30-Apr-10,30-Apr-10,2,157,0
24302466,16,511,4-Dec-13,4-Sep-11,9-Sep-07,4,158,1
25991406,4,161,20-May-15,11-Feb-15,15-May-13,4,161,0
23955465,5,167,17-Aug-13,31-Mar-13,28-Jan-11,5,167,0
22696366,1,167,13-Jun-12,29-Feb-12,30-Apr-08,1,167,0
25922864,3,168,18-Feb-15,27-Aug-14,31-Jan-12,3,168,0
25485858,6,168,8-Dec-14,31-Aug-12,31-Aug-12,6,168,0
26797965,1,170,21-Jan-16,28-Aug-15,28-Nov-13,1,170,0
23235634,5,214,12-Dec-12,31-Jan-12,31-Jul-08,4,174,0
23450581,5,382,28-Feb-13,25-May-12,10-Jun-09,4,176,1
23963766,3,524,21-Aug-13,31-Jul-13,10-May-10,1,177,0
29697138,10,898,26-Apr-18,18-Jul-17,30-Apr-10,4,178,0
23235653,2,179,12-Dec-12,29-Jun-12,7-May-10,2,179,0
24151035,2,318,23-Oct-13,31-Aug-13,31-May-09,1,181,1
25202988,6,183,9-Sep-14,2-Sep-14,17-May-12,6,183,0
24578236,8,183,27-Feb-14,15-Jan-14,6-Apr-11,8,183,0
22161366,7,183,7-Dec-11,30-Apr-03,31-Mar-07,7,183,0
23728670,3,1448,31-May-13,30-Nov-12,31-Mar-10,3,185,1
22336832,1,186,15-Feb-12,25-Oct-11,28-Oct-10,1,186,0
22336817,4,186,15-Feb-12,31-Dec-11,15-Dec-08,4,186,0
26709672,11,288,28-Dec-15,15-Jun-15,31-May-08,9,188,1
26282194,8,218,17-Aug-15,30-Jun-14,31-Jul-10,7,189,0
24957634,2,189,24-Jun-14,31-Jan-14,31-Aug-08,2,189,0
25419599,4,190,24-Nov-14,4-Sep-14,2-Aug-12,4,190,0
24777492,2,190,29-Apr-14,31-Jan-14,31-Aug-08,2,190,0
23728666,4,238,31-May-13,31-Mar-13,30-Nov-09,3,190,0
27107610,3,192,24-Apr-16,4-May-15,20-Oct-11,3,192,0
26221993,1,200,26-Jul-15,20-May-15,8-Jun-12,1,200,0
26250103,12,650,7-Aug-15,31-May-15,31-Mar-11,4,202,1
27552363,2,203,23-Aug-16,30-Sep-15,31-May-11,2,203,0
26297797,18,633,22-Aug-15,30-Sep-14,31-Mar-09,8,203,1
25062018,4,203,25-Jul-14,29-Nov-13,31-Dec-11,4,203,0
22258972,3,203,18-Jan-12,30-Nov-11,9-Dec-09,3,203,0
26468973,5,285,15-Oct-15,31-Jul-15,30-Nov-10,3,204,1
26176166,13,484,15-Jul-15,29-Jul-14,30-Jun-11,7,205,0
20614437,4,511,7-Jul-10,30-Jun-10,31-Jan-08,2,205,0
23152263,6,208,14-Nov-12,31-Dec-10,31-Dec-10,6,208,0
23852992,9,252,12-Jul-13,13-Jun-13,8-Oct-10,8,212,0
24343585,4,92,16-Dec-13,9-Aug-13,25-Aug-10,3,219,0
24809816,16,2181,9-May-14,13-Jun-12,20-Jun-06,4,222,1
22895976,3,223,15-Aug-12,30-Apr-12,7-May-10,3,223,0
24343792,7,346,17-Dec-13,24-Jul-13,17-Jan-11,4,224,0
24323411,7,226,9-Dec-13,31-Aug-13,31-May-11,7,226,0
22513903,7,320,18-Apr-12,15-Feb-12,29-Oct-08,5,228,0
25198249,4,229,8-Sep-14,22-Aug-13,23-Feb-11,4,229,0
26116828,13,434,28-Jun-15,10-Mar-15,29-Nov-10,7,231,0
23076946,5,233,17-Oct-12,30-Nov-11,30-Nov-11,5,233,1
29144545,9,229,16-Nov-17,6-May-16,30-Nov-06,5,237,1
25950424,7,16,7-May-15,27-Jun-14,31-Dec-08,3,238,1
23450563,2,238,28-Feb-13,30-Sep-12,31-Mar-10,2,238,0
25019293,17,263,13-Jul-14,17-Mar-14,15-Feb-12,16,246,0
26932818,3,271,2-Mar-16,30-Jun-15,31-May-13,2,251,0
26684281,2,287,18-Dec-15,28-Sep-15,6-Dec-12,1,253,0
26461493,3,353,13-Oct-15,31-May-15,31-May-12,2,253,0
27465317,5,690,28-Jul-16,6-Nov-13,6-Nov-13,3,254,1
22161400,6,373,7-Dec-11,8-Mar-11,30-Sep-30,4,255,0
23543518,3,262,28-Mar-13,31-May-12,30-Jun-08,3,262,0
25088229,5,366,4-Aug-14,31-Jul-13,31-Oct-10,4,266,0
26286189,5,268,19-Aug-15,31-Mar-15,30-Nov-12,5,268,0
26107113,4,388,24-Jun-15,7-May-15,28-Oct-10,4,268,0
27501304,5,269,8-Aug-16,5-Jan-16,8-Mar-12,5,269,1
24114291,8,269,10-Oct-13,31-Jul-13,30-Nov-10,8,269,0
25284270,9,386,6-Oct-14,30-Jun-14,31-Dec-09,5,271,0
23440807,2,273,31-Jan-13,31-Jan-12,31-Jan-07,1,273,0
25927099,37,522,12-Feb-15,31-Oct-13,31-Mar-10,19,276,0
23959778,9,314,20-Aug-13,31-Mar-13,31-Dec-09,7,276,0
26822633,4,277,29-Jan-16,30-Sep-15,31-Jan-13,4,277,0
26086959,8,778,18-Jun-15,28-Feb-15,31-Jul-08,2,283,1
25884249,12,433,17-Apr-15,26-Mar-15,31-Dec-06,7,284,0
24379104,8,284,30-Dec-13,4-Dec-12,23-Nov-10,7,284,1
30117156,18,314,17-Aug-18,12-Jul-17,30-Nov-11,13,286,1
28573757,17,1420,2-Jun-17,31-Jan-17,31-Oct-09,6,287,0
23846831,20,850,11-Jul-13,30-Nov-12,30-Jun-06,9,291,0
25946084,10,811,6-May-15,28-Feb-15,30-Sep-09,4,294,0
24307487,8,1499,4-Dec-13,31-Mar-13,31-May-09,4,296,0
23440815,4,301,31-Jan-13,10-Nov-12,30-Apr-09,4,301,0
24482121,8,678,31-Jan-14,31-Aug-13,31-Mar-09,4,307,0
22258973,4,374,18-Jan-12,31-Jul-11,31-Jan-09,3,308,0
27153248,8,1036,6-May-16,30-Nov-15,28-Feb-11,5,311,0
25491891,8,543,10-Dec-14,31-Jul-14,30-Apr-11,7,315,1
27344135,3,401,26-Jun-16,31-Oct-15,31-May-11,2,316,0
24488654,10,316,3-Feb-14,5-Sep-13,21-Jul-11,10,316,0
26331392,4,317,3-Sep-15,31-Mar-15,31-Jul-13,4,317,0
24913720,15,428,10-Jun-14,22-Aug-13,9-Oct-09,11,317,0
23900970,11,611,31-Jul-13,31-May-13,30-Jun-10,7,319,0
23846738,2,319,11-Jul-13,30-Jun-13,29-Feb-12,2,319,0
22696362,19,666,13-Jun-12,31-Jul-11,31-Oct-07,11,321,1
22972086,6,535,12-Sep-12,28-Feb-12,31-Oct-06,5,322,1
23152232,38,356,14-Nov-12,31-Jul-11,30-Sep-07,31,332,1
23853046,4,320,13-Jul-13,31-May-13,28-Feb-11,4,333,0
23152209,13,334,14-Nov-12,3-Sep-12,4-Aug-10,13,334,0
24919591,10,432,12-Jun-14,31-Oct-13,31-Jan-10,8,336,0
28240353,12,337,27-Feb-17,30-Nov-16,16-Sep-14,12,337,0
28635028,9,519,21-Jun-17,30-Sep-16,30-Sep-12,7,340,0
28368090,11,1486,3-Apr-17,31-Oct-16,26-Nov-07,8,341,0
28094851,5,2473,17-Jan-17,4-Apr-16,28-Jan-13,3,342,0
26599079,15,1006,24-Nov-15,3-Feb-15,10-Jan-08,12,342,0
29766487,7,402,16-May-18,30-Jun-17,31-Oct-10,6,345,0
22895968,4,493,15-Aug-12,28-Feb-12,30-Nov-09,3,350,0
25716704,6,344,26-Feb-15,31-Oct-14,31-Aug-10,5,352,0
24879341,3,240,30-May-14,29-Jan-14,31-Dec-08,3,354,0
23794322,3,354,24-Jun-13,15-May-13,6-Apr-11,3,354,0
28707404,8,355,14-Jul-17,17-Feb-17,1-Feb-15,2,355,0
19160214,7,362,21-Jan-09,31-Dec-06,31-Dec-06,7,362,0
18646126,13,363,16-Jul-08,15-Dec-05,15-Dec-05,13,363,1
24006231,9,366,5-Sep-13,30-Apr-13,30-Apr-13,9,366,0
23450571,6,402,28-Feb-13,11-Sep-12,7-Apr-10,5,366,0
23235649,18,397,12-Dec-12,2-Aug-12,5-Aug-10,17,367,0
21328252,7,367,16-Feb-11,10-Dec-10,31-Dec-07,7,367,0
26580100,5,369,18-Nov-15,31-Jul-15,10-Oct-11,5,369,0
20556749,8,370,16-Jun-10,24-Feb-10,31-Aug-07,8,369,1
29178172,16,719,27-Nov-17,30-Jun-17,31-Mar-15,11,370,0
27045603,5,373,5-Apr-16,31-Oct-11,31-Oct-11,5,373,1
26280888,5,1503,17-Aug-15,4-Aug-15,28-Feb-12,4,373,0
23913547,8,416,3-Aug-13,31-Jan-13,31-May-10,7,375,0
23799857,6,375,25-Jun-13,30-Apr-13,4-Jan-12,6,375,0
23235621,3,386,12-Dec-12,16-Jul-12,31-Oct-09,3,386,0
29341067,13,438,17-Jan-18,30-Apr-17,31-Mar-10,11,387,0
23963794,4,535,21-Aug-13,31-Jul-12,28-Feb-10,3,387,0
20091608,12,437,20-Jan-10,31-Mar-09,30-Sep-07,11,389,0
24788977,6,661,1-May-14,31-Oct-13,31-Aug-10,2,392,1
21735418,6,394,6-Jul-11,22-Apr-11,31-Mar-09,6,394,0
28157274,12,1967,3-Feb-17,4-Feb-16,24-Jun-10,6,396,0
22592722,2,397,16-May-12,30-Nov-08,30-Nov-08,2,397,0
29589380,14,1095,28-Mar-18,30-Jun-17,30-Jun-11,6,401,0
25054949,14,623,23-Jul-14,7-Apr-14,31-Aug-08,8,403,0
25701429,2,408,21-Feb-15,8-Sep-14,6-Aug-12,2,408,0
25075589,13,3081,30-Jul-14,31-Jan-14,31-Jul-10,5,413,0
25493690,18,4323,10-Dec-14,31-Oct-14,31-Mar-08,4,418,1
23728634,4,422,31-May-13,31-Jan-13,31-May-10,4,422,0
21975749,9,427,5-Oct-11,31-Mar-10,31-Mar-10,9,427,0
23235642,11,2660,12-Dec-12,30-Jun-12,16-Apr-09,4,430,1
23152242,2,663,14-Nov-12,28-Jul-08,28-Jul-08,1,431,0
23450566,2,5455,28-Feb-13,15-Jan-12,30-Nov-07,1,432,0
24894643,4,436,4-Jun-14,10-Jan-14,14-May-09,4,436,0
28236296,19,1398,25-Feb-17,8-Mar-16,17-May-12,9,437,1
23846869,5,446,12-Jul-13,30-Apr-13,10-Jun-11,5,446,0
25620061,3,323,26-Jan-15,31-Jul-14,31-May-09,4,448,0
22972093,6,560,12-Sep-12,28-Feb-12,31-May-08,5,453,0
18677781,5,459,16-Jul-08,30-Apr-08,28-Feb-07,5,459,0
26996760,32,748,21-Mar-16,28-Feb-15,31-Mar-13,15,463,1
26661741,2,467,10-Dec-15,16-Feb-15,1-May-12,2,467,0
26517527,11,1317,30-Oct-15,30-Jun-15,31-May-98,8,467,1
21975772,4,467,5-Oct-11,30-Apr-11,30-Nov-08,4,467,0
23904194,10,502,1-Aug-13,31-Aug-12,28-Feb-07,9,470,0
25406011,9,539,18-Nov-14,15-Oct-14,30-Sep-08,6,475,1
22972067,5,481,12-Sep-12,31-Jul-11,31-Jan-07,5,481,0
23884904,10,1139,24-Jul-13,17-Jul-12,31-Mar-10,5,484,1
28230908,21,1386,17-Sep-15,30-Jun-16,30-Apr-11,7,485,1
24297303,12,508,2-Dec-13,28-Feb-13,31-Aug-10,11,495,0
28626902,6,496,19-Jun-17,31-Jan-17,31-Jul-14,6,496,0
23152254,6,496,14-Nov-12,31-Aug-12,31-Aug-09,6,496,0
20091500,14,496,20-Jan-10,30-Jun-09,30-Jun-09,14,496,0
28267223,9,3948,7-Mar-17,30-Nov-16,30-Nov-08,1,500,0
28602020,10,594,11-Jun-17,30-Nov-16,6-Aug-13,9,506,0
25117413,14,607,12-Aug-14,29-Apr-13,30-Apr-11,13,507,0
23440813,5,507,31-Jan-13,31-Aug-12,30-Sep-08,5,507,0
29944175,8,510,26-Jun-18,30-Sep-17,31-Jul-09,8,510,0
23908052,1,510,2-Aug-13,31-May-13,16-Jun-10,1,510,0
23922167,5,535,6-Aug-13,30-Apr-13,4-Jan-12,4,511,0
24122673,1,513,13-Oct-13,31-Jul-13,30-Jun-08,1,513,0
23633347,9,571,30-Apr-13,2-Aug-12,30-Nov-09,7,517,0
28439881,40,1196,25-Apr-17,30-Nov-16,30-Nov-11,20,518,0
25222766,13,531,15-Sep-14,4-Sep-14,28-Jun-12,13,531,0
23450537,10,1127,28-Feb-13,18-Oct-12,28-Feb-09,7,535,0
26391969,2,536,22-Sep-15,31-Aug-15,30-Nov-12,2,536,1
27404120,1,548,12-Jul-16,30-Apr-16,27-Feb-12,1,548,0
23152235,6,553,14-Nov-12,8-Feb-12,11-Sep-09,6,553,0
24956457,12,555,23-Jun-14,2-Jun-14,31-Dec-11,12,555,0
22161401,12,891,7-Dec-11,28-Feb-11,28-Feb-08,6,563,1
24760678,6,1543,23-Apr-14,31-Mar-14,30-Nov-10,5,564,1
29993119,64,2024,11-Jul-18,16-Aug-17,30-Jun-11,16,567,1
26079202,12,2029,16-Jun-15,28-Jan-15,15-Feb-11,2,580,1
30096215,8,1871,10-Aug-18,20-Sep-17,31-Aug-11,3,583,1
25698124,1,585,20-Feb-15,31-Aug-13,31-Jan-10,1,585,0
24719027,10,475,10-Apr-14,28-Feb-14,30-Jun-10,15,605,0
23450572,3,605,28-Feb-13,30-Nov-12,31-May-10,3,605,0
24222365,4,1439,12-Nov-13,30-Jun-13,31-Dec-08,3,612,1
24599680,7,696,5-Mar-14,28-Feb-13,30-Jun-07,7,614,1
25942496,8,1168,5-May-15,30-Jun-14,30-Jun-11,4,617,0
26446577,42,682,8-Oct-15,30-Jun-15,30-Jun-08,19,619,1
24282143,6,1246,27-Nov-13,31-Oct-13,31-Jul-08,4,619,0
26593309,5,620,23-Nov-15,30-Nov-14,31-Mar-12,5,620,0
23980026,8,141,27-Aug-13,31-Jul-12,31-Mar-08,23,622,1
25604891,6,1009,21-Jan-15,31-Oct-14,31-May-11,5,623,0
25984923,13,675,18-May-15,21-Jul-14,1-Oct-10,12,625,1
23633335,2,630,30-Apr-13,31-Oct-12,31-Mar-07,2,630,0
22161398,23,1352,7-Dec-11,20-Jan-11,31-Dec-07,12,632,0
29523018,16,1036,10-Mar-18,31-Mar-17,31-Aug-11,9,635,1
25420475,8,807,25-Nov-14,21-Mar-14,1-Mar-11,6,637,0
29741752,6,710,9-May-18,30-Jun-17,28-Feb-14,5,642,0
28231607,5,662,24-Feb-17,19-Sep-16,30-Jun-12,5,662,0
23633333,16,1565,30-Apr-13,30-Jun-12,15-Jan-09,8,662,1
22419328,9,667,14-Mar-12,30-Sep-11,31-Aug-09,9,667,0
25581416,8,1977,12-Jan-15,31-Dec-10,31-Dec-10,4,673,1
